Molecular Systems Biology; Wiley Blackwell; 2020; 1744-4292; English; Agricultural and Biological Sciences; 2000; 100; Available;
MIS Quarterly Management Information Systems; Management Information Systems Research Center; 2019; 2162-9730; English; Business, Management and Accounting; 20; 20; On_Loan;
IEEE Transactions on Cybernetics; IEEE Advancing Technology for Humanity; 2020; 2168-2275; English; Computer Science; 200; 200; On_Loan; 
Journal of Supply Chain Management; Wiley Blackwell; 2020; 1745-493X; English; Computer Science; 20; 12; Available;
Systems and Humans; Institute of Electrical and Electronics Engineers Inc; 2020; 1083-4427; English; Computer Science; 200; 200; On_Loan; 
Surveys in Operations Research and Management Science; Elsevier Science; 2020; 1876-7354; English; Computer Science; 20; 20; On_Loan; 
Journal of Service Research; SAGE Publications Inc; 2020; 1552-7379; English; Computer Science; 2000; 19; Available;
Big Data and Society; SAGE Publications Ltd; 2020; 2053-9517; English; Computer Science; 900; 8; Available; 
Information Systems Research; INFORMS Institute for Operations Research and the Management Sciences; 2020; 1526-5536; English; Computer Science; 2000; 29; Available; 
Information Fusion; Elsevier; 2020; 1872-6305; English; Computer Science; 300; 30; Available; 
Briefings in Bioinformatics; Oxford University Press; 2018; 1477-4054; English; Molecular Biology; 202090; 3000; Available; 
Scientific data; Nature Publishing Group; 2020; 2052-4463; English; Computer Science; 2098; 2098; On_Loan; 
IEEE Transactions on Systems, Man, and Cybernetics Systems; IEEE Advancing Technology for Humanity; 2018; 2168-2216; English; Engineering; 20; 20; On_Loan; 
International Journal of Information Management; Elsevier Ltd; 2018; 0268-4012; English; Computer Science; 90; 80; Available;
IEEE Network; Institute of Electrical and Electronics Engineers Inc; 2018; 0890-8044; English; Computer Science; 7070; 70; Available; 
Journal of Strategic Information Systems; Elsevier; 2020; 0963-8687; English; Computer Science; 30; 30; On_Loan;
IEEE Internet of Things Journal; Institute of Electrical and Electronics Engineers Inc; 2019; 2327-4662; English; Computer Science; 300; 300; On_Loan;
Journal of the Association of Information Systems; Association for Information Systems; 2019; 1558-3457; English; Computer Science; 70; 7; Available;
Information and Management; Elsevier; 2019; 0378-7206; English; Computer Science; 200; 10; Available; 
IEEE Transactions on Industrial Informatics; IEEE Computer Society; 2020; 1551-3203; English; Computer Science; 80; 80; On_Loan;
